2020-09-30 | 14:06:13.141 | [] |  INFO | ThreadPoolTaskExecutor         | (   218) | Shutting down ExecutorService 'applicationTaskExecutor'
2020-09-30 | 14:06:13.143 | [] |  INFO | StandardService                | (   173) | Stopping service [Tomcat]
2020-09-30 | 14:06:13.150 | [] |  INFO | ConditionEvaluationReportLoggingListener | (   136) | 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-09-30 | 14:06:13.151 | [] | ERROR | LoggingFailureAnalysisReporter | (    40) | 

***************************
APPLICATION FAILED TO START
***************************

Description:

Web server failed to start. Port 8080 was already in use.

Action:

Identify and stop the process that's listening on port 8080 or configure this application to listen on another port.

2020-09-30 | 14:07:14.659 | [] |  INFO | [/api/v1]                      | (   173) | Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-09-30 | 14:07:14.660 | [] |  INFO | DispatcherServlet              | (   525) | Initializing Servlet 'dispatcherServlet'
2020-09-30 | 14:07:14.661 | [] |  INFO | DispatcherServlet              | (   547) | Completed initialization in 1 ms
2020-09-30 | 14:07:14.662 | [] |  INFO | LocalFileService               | (   107) | Try to get all files
2020-09-30 | 14:07:22.945 | [] |  INFO | StorageAppApplication          | (    55) | Starting StorageAppApplication on DESKTOP-UL9U8E0 with PID 16416 (D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app\target\classes started by Admin in D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app)
2020-09-30 | 14:07:22.947 | [] |  INFO | StorageAppApplication          | (   651) | No active profile set, falling back to default profiles: default
2020-09-30 | 14:07:22.979 | [] |  INFO | DevToolsPropertyDefaultsPostProcessor | (   225) | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-09-30 | 14:07:22.980 | [] |  INFO | DevToolsPropertyDefaultsPostProcessor | (   225) | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-09-30 | 14:07:23.429 | [] |  INFO | TomcatWebServer                | (   108) | Tomcat initialized with port(s): 8080 (http)
2020-09-30 | 14:07:23.439 | [] |  INFO | StandardService                | (   173) | Starting service [Tomcat]
2020-09-30 | 14:07:23.440 | [] |  INFO | StandardEngine                 | (   173) | Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-09-30 | 14:07:23.484 | [] |  INFO | ThreadPoolTaskExecutor         | (   218) | Shutting down ExecutorService 'applicationTaskExecutor'
2020-09-30 | 14:07:23.501 | [] |  INFO | [/api/v1]                      | (   173) | Initializing Spring embedded WebApplicationContext
